CGPA,Projects,Internships,DSA_Solved,Certifications,Communication_Score,Package
7.5,3,3,105,2,3,13.0
9.8,1,2,550,3,1,18.0
8.93,5,2,475,1,2,17.7
8.39,3,2,274,0,6,14.4
6.62,2,2,87,4,5,11.6
6.62,3,1,76,2,1,8.1
6.23,3,1,76,5,1,8.9
9.46,2,1,441,0,4,15.7
8.4,4,1,539,5,4,18.3
8.83,4,0,244,3,6,14.0
6.08,1,1,577,4,6,12.3
9.88,1,2,381,3,10,18.3
9.33,4,1,569,3,6,18.9
6.85,5,1,141,4,1,11.6
6.73,3,3,367,4,10,16.9
6.73,5,2,83,5,9,14.5
7.22,3,1,142,3,7,11.6
8.1,4,1,351,2,7,15.6
7.73,1,1,544,5,7,15.3
7.16,1,0,151,4,2,8.9
8.45,5,1,157,0,2,13.3
6.56,1,3,445,5,6,15.7
7.17,4,2,302,1,7,14.1
7.47,5,2,449,2,3,15.5
7.82,3,1,223,5,4,13.5
9.14,1,1,42,4,3,12.6
6.8,2,1,263,4,7,11.9
8.06,1,2,2,2,7,12.3
8.37,3,2,267,1,4,14.8
6.19,5,0,595,5,7,14.4
8.43,3,3,15,5,5,15.4
6.68,2,0,333,3,1,9.1
6.26,4,3,463,0,10,16.0
9.8,1,0,58,4,4,11.7
9.86,5,2,176,5,7,19.1
9.23,4,0,62,5,2,13.5
7.22,3,3,560,5,2,17.3
6.39,5,1,306,1,1,11.3
8.74,4,3,245,0,2,16.0
7.76,5,1,288,5,10,16.5
6.49,2,2,331,2,8,12.2
7.98,2,3,526,4,8,18.3
6.14,1,0,254,3,8,9.1
9.64,1,3,509,2,1,17.3
7.04,2,1,462,4,1,11.5
8.65,5,2,198,1,10,17.6
7.25,2,0,270,0,4,9.5
8.08,1,3,557,0,6,16.6
8.19,2,1,63,4,8,12.9
6.74,2,0,229,2,2,8.0
9.88,5,2,248,3,3,17.9
9.1,4,0,245,1,6,14.8
9.76,1,2,586,4,10,20.0
9.58,5,0,156,1,4,14.0
8.39,2,3,563,0,2,16.3
9.69,2,1,87,5,7,14.8
6.35,4,3,312,5,4,15.3
6.78,1,3,65,3,8,10.8
6.18,1,2,19,1,8,8.7
7.3,3,2,32,4,7,12.7
7.55,1,2,557,3,10,17.3
7.09,4,3,72,2,9,13.7
9.31,3,0,342,5,4,14.6
7.43,3,0,132,4,7,10.8
7.12,2,3,54,1,10,13.3
8.17,2,3,60,3,10,15.2
6.56,1,1,519,4,1,10.8
9.21,3,2,271,3,4,16.4
6.3,2,2,245,3,2,11.4
9.95,4,3,175,3,9,19.9
9.09,2,3,316,1,5,16.8
6.79,2,0,130,4,3,8.7
6.02,3,3,101,0,4,10.7
9.26,3,0,309,0,6,13.3
8.83,5,3,291,1,10,19.1
8.92,4,1,494,1,1,15.6
9.09,3,1,360,5,7,16.8
6.3,1,0,337,3,8,10.2
7.43,4,2,578,4,7,17.5
6.46,4,1,9,4,7,10.4
9.45,3,0,48,2,9,12.8
8.49,4,3,486,2,4,18.7
7.32,3,3,320,0,7,15.4
6.25,2,0,568,2,9,12.0
7.24,5,2,132,2,5,13.8
7.3,2,0,582,0,2,11.5
8.92,3,0,82,5,5,11.6
8.55,3,1,56,0,4,11.5
9.55,2,0,375,2,8,15.3
7.89,1,0,348,4,5,12.0
6.48,1,3,270,2,9,13.3
8.85,1,1,482,3,9,16.0
9.04,3,3,110,3,3,16.5
8.25,4,3,75,3,10,16.6
9.08,3,2,157,5,6,16.2
7.98,4,2,531,1,6,17.4
8.09,2,1,328,3,4,13.3
7.71,5,1,121,4,10,16.0
6.1,4,2,40,5,3,10.7
6.43,1,2,166,1,1,8.9
6.13,3,2,22,1,7,9.5
8.55,2,2,278,3,5,15.5
7.26,1,2,468,2,10,15.1
8.03,2,3,399,0,7,15.9
9.63,5,1,8,2,1,13.4
7.0,3,3,12,2,8,12.2
7.64,3,3,51,1,3,12.8
9.02,5,0,208,1,7,13.8
6.92,3,3,549,5,3,17.3
6.31,4,2,401,5,3,13.3
7.16,2,2,190,1,10,12.8
6.64,1,0,50,4,9,8.2
9.72,5,0,392,4,2,16.7
9.23,4,0,299,0,4,13.9
8.53,1,0,195,1,6,11.2
9.49,1,0,416,3,3,13.3
9.21,5,3,419,5,10,21.6
6.75,4,0,521,1,10,14.2
9.57,1,3,355,4,7,18.9
8.16,1,1,147,1,7,10.3
9.23,4,0,364,4,5,16.0
9.58,3,0,363,1,3,13.9
7.27,1,3,401,3,2,13.7
6.44,2,1,491,0,4,11.1
6.91,4,3,228,3,4,15.1
7.71,1,3,574,4,8,17.3
9.27,5,0,536,5,8,18.2
9.44,2,2,267,5,5,17.1
6.03,1,2,404,2,6,11.6
8.04,2,3,10,3,8,14.7
7.67,2,0,319,1,1,9.9
6.89,3,1,125,0,5,10.4
6.48,2,2,305,1,4,11.3
7.35,3,1,510,1,4,13.9
9.77,4,2,88,3,2,16.6
7.29,3,0,354,0,10,12.2
8.08,5,3,351,2,1,17.2
8.81,1,1,13,1,6,10.9
7.45,4,1,256,0,7,12.9
9.89,4,3,208,2,5,17.9
9.85,5,1,280,1,8,17.5
7.01,3,2,442,0,9,14.2
7.99,1,3,388,3,2,15.5
7.2,3,2,482,5,4,16.5
7.14,2,2,146,5,9,13.3
6.15,3,0,278,1,5,8.7
8.44,4,2,520,1,3,16.3
8.01,1,0,433,0,6,12.0
6.21,3,1,143,5,3,9.7
7.11,1,1,288,1,5,10.3
9.63,1,0,385,2,3,14.5
6.96,2,2,13,1,6,10.0
6.58,2,3,256,5,10,15.3
7.96,4,3,345,4,5,17.4
9.94,5,0,344,5,9,18.0
6.97,1,1,399,2,3,10.1
8.69,5,1,206,0,6,14.9
9.05,4,3,171,2,8,18.6
6.95,1,0,463,4,7,12.1
8.91,1,3,269,4,6,17.0
7.47,5,2,220,1,2,13.0
8.53,3,2,151,1,7,15.0
8.53,2,0,182,5,8,13.7
8.14,3,0,398,3,1,12.2
6.36,5,2,71,2,9,12.9
9.34,2,1,417,5,4,15.6
7.28,3,0,282,3,8,12.5
6.75,2,2,73,5,10,12.3
6.16,1,2,354,4,7,11.7
8.36,3,1,496,1,10,16.8
8.71,2,1,327,1,7,13.5
6.07,2,1,534,5,2,12.2
8.05,2,1,579,1,1,13.3
6.91,3,3,446,0,4,13.9
8.58,4,1,372,5,2,15.7
6.7,3,3,361,4,8,15.7
8.76,5,0,92,5,10,15.9
7.55,3,2,320,5,7,14.9
9.75,2,3,323,1,8,19.2
6.55,1,0,383,4,6,9.9
7.36,3,0,574,5,1,13.9
6.45,3,3,345,1,9,15.2
9.7,2,0,102,2,6,13.1
9.51,1,0,214,4,10,14.1
7.03,1,3,191,3,1,10.9
8.64,5,0,193,0,1,11.0
9.27,3,1,379,3,8,18.0
8.22,1,1,402,4,6,14.1
8.12,1,2,599,5,8,17.2
6.97,4,0,10,1,8,8.9
6.37,4,2,186,4,8,13.4
9.59,1,1,14,0,10,12.8
9.6,5,1,296,4,7,17.2
8.53,1,1,410,1,7,14.6
7.36,2,0,584,3,10,14.7
7.4,3,0,51,2,4,10.1
8.9,5,1,27,3,9,15.7
9.59,2,2,576,1,2,16.1
9.55,5,2,16,1,9,17.4
9.12,2,3,350,0,10,18.6
8.57,3,1,427,4,3,15.1
6.34,3,2,228,4,2,11.3
6.65,4,1,209,3,4,11.6
9.59,2,2,430,2,5,17.0
8.43,4,3,293,2,2,16.2
6.04,2,3,581,0,1,13.5
6.41,4,1,103,1,10,11.3
8.65,3,2,203,0,5,14.0
6.02,5,0,52,4,9,10.7
6.64,4,3,374,5,5,16.1
8.19,2,1,53,5,10,13.5
8.77,2,1,275,5,9,15.5
